NombreProyecto,NombreEstacionPeaje,Departamento,Municipio,TAR_PLENA_I,TAR_PLENA_II,TAR_PLENA_III,TAR_PLENA_IV,TAR_PLENA_V,TAR_PLENA_VI,TAR_PLENA_VII,TAR_PLENA_VIII,FechaUltimoCambiodeTarifa
RUTA CARIBE,PASACABALLOS,BOLÍVAR,TURBANÁ,8100,8800,18700,24400,28300,28300,28300,0,2019-01-10T00:00:00.000
RUTA CARIBE,SABANAGRANDE,ATLÁNTICO,SABANAGRANDE,8500,9200,20200,26400,30500,0,0,0,2019-01-10T00:00:00.000
RUTA CARIBE,TURBACO,BOLÍVAR,TURBACO,3100,7600,9300,0,0,0,0,0,2019-01-10T00:00:00.000
RUTA DEL SOL 1,EL KORÁN,CUNDINAMARCA,PUERTO SALGAR,12800,18000,25400,53100,66000,78300,0,0,2019-01-20T00:00:00.000
RUTA DEL SOL SECTOR 3,EL COPEY,CESAR,EL COPEY,7900,8700,20300,26700,30900,0,0,0,2019-01-20T00:00:00.000
RUTA DEL SOL SECTOR 3,EL DIFÍCIL,MAGDALENA,PLATO,9200,11400,24100,34100,36600,0,0,0,2019-01-20T00:00:00.000
RUTA DEL SOL SECTOR 3,LA LOMA,CESAR,EL PASO,8100,9000,19500,25100,28500,0,0,0,2019-01-20T00:00:00.000
RUTA DEL SOL SECTOR 3,PUENTE PLATO,MAGDALENA,PLATO,9200,11400,24100,34100,36600,0,0,0,2019-01-20T00:00:00.000
RUTA DEL SOL SECTOR 3,TUCURINCA,MAGDALENA,ARACATACA,8500,9400,21900,28800,33400,0,0,0,2019-01-20T00:00:00.000
RUTA DEL SOL SECTOR 3,VALENCIA,CESAR,VALLEDUPAR,8100,9000,19500,25100,28500,0,0,0,2019-01-20T00:00:00.000
AUTOPISTA AL MAR 2,CIRILO,ANTIOQUIA,TURBO,8700,9500,9500,9500,19800,25500,28600,0,2019-01-16T00:00:00.000
AUTOPISTA CONEXIÓN PACIFICO 1,AMAGÁ,ANTIOQUIA,CALDAS,8300,9000,19200,24400,27400,0,0,0,2019-01-16T00:00:00.000
AUTOPISTA CONEXIÓN PACIFICO 2,LA PINTADA,ANTIOQUIA,LA PINTADA,8300,9000,19200,24400,27400,0,0,0,2019-01-16T00:00:00.000
AUTOPISTA CONEXIÓN PACIFICO 2,PRIMAVERA,ANTIOQUIA,SANTA BÁRBARA,8300,9000,19200,24400,27400,0,0,0,2019-01-16T00:00:00.000
AUTOPISTA CONEXIÓN PACIFICO 3,ACAPULCO,CALDAS,BELALCÁZAR,11400,14100,14100,14100,33800,42400,48900,0,2019-01-16T00:00:00.000
AUTOPISTA CONEXIÓN PACIFICO 3,SUPIA,CALDAS,SUPÍA,8300,9000,19200,24400,27400,0,0,0,2019-01-16T00:00:00.000
AUTOPISTAS AL RÍO MAGDALENA 2,PUERTO BERRÍO,ANTIOQUIA,PUERTO BERRÍO,8500,9300,19500,24800,27900,0,0,0,2019-01-16T00:00:00.000
BUCARAMANGA - BARRANCABERMEJA - YONDÓ,RIO SOGAMOSO,SANTANDER,BETULIA,8500,9300,19500,24800,27900,0,0,0,2019-01-16T00:00:00.000
BUCARAMANGA - PAMPLONA,EL PICACHO,SANTANDER,PIEDECUESTA,8500,9300,19500,24800,27900,0,0,0,2019-01-16T00:00:00.000
CARTAGENA - BARRANQUILLA CIRCUNVALAR DE LA PROSPERIDAD,GALAPA,ATLÁNTICO,GALAPA,12500,18800,13600,23900,74800,99700,110600,0,2019-01-16T00:00:00.000
CONCESIÓN AUTOPISTA AL MAR 1,PALMITAS,ANTIOQUIA,MEDELLÍN,16200,18300,39900,51900,62100,0,0,0,2019-01-16T00:00:00.000
CONCESIÓN AUTOPISTA AL MAR 1,SAN CRISTOBAL,ANTIOQUIA,MEDELLÍN,16200,18300,39900,51900,62100,0,0,0,2019-01-16T00:00:00.000
GIRARDOT - HONDA - PUERTO SALGAR,CAMBAO,CUNDINAMARCA,SAN JUAN DE RIOSECO,9900,14000,19200,25700,36400,59000,67400,0,2019-01-16T00:00:00.000
GIRARDOT - HONDA - PUERTO SALGAR,GUATAQUÍ,CUNDINAMARCA,GUATAQUÍ,9900,14000,19200,25700,36400,59000,67400,0,2019-01-21T00:00:00.000
IP - ACCESOS NORTE,ANDES,CUNDINAMARCA,CHÍA,8700,15000,9600,21800,33100,42700,47300,0,2019-01-16T00:00:00.000
IP - ACCESOS NORTE,FUSCA,CUNDINAMARCA,CHÍA,8700,15000,9600,21800,33100,42700,47300,0,2019-01-16T00:00:00.000
IP - ACCESOS NORTE,UNISABANA,CUNDINAMARCA,CHÍA,0,0,0,0,33100,42700,47300,0,2019-01-16T00:00:00.000
IP - ANTIOQUIA BOLIVAR,CAIMANERA,SUCRE,SANTIAGO DE TOLÚ,12300,18200,18200,18200,19500,28300,28400,0,2019-01-16T00:00:00.000
IP - ANTIOQUIA BOLIVAR,CEDROS,CÓRDOBA,MONTERÍA,12600,18600,18600,18600,33600,53600,61800,0,2019-01-16T00:00:00.000
IP - ANTIOQUIA BOLIVAR,LA APARTADA,CÓRDOBA,LA APARTADA,12600,18600,18600,18600,33600,53600,61800,0,2019-01-16T00:00:00.000
IP - ANTIOQUIA BOLIVAR,MANGUITOS,CÓRDOBA,PLANETA RICA,12600,18600,18600,18600,33600,53600,61800,0,2019-01-16T00:00:00.000
IP - ANTIOQUIA BOLIVAR,MATA DE CAÑA,CÓRDOBA,LORICA,12300,18200,18200,18200,19500,28300,28400,0,2019-01-16T00:00:00.000
IP - ANTIOQUIA BOLIVAR,PURGATORIO,CÓRDOBA,MONTERÍA,12600,18600,18600,18600,33600,53600,61800,0,2019-01-16T00:00:00.000
IP - ANTIOQUIA BOLIVAR,SAN CARLOS,CÓRDOBA,SAN CARLOS,12300,18200,18200,18200,19500,28300,28400,0,2019-01-16T00:00:00.000
IP - ANTIOQUIA BOLIVAR,SAN ONOFRE,SUCRE,SAN ONOFRE,12600,18600,18600,18600,33600,53600,61800,0,2019-01-16T00:00:00.000
IP - CAMBAO-MANIZALES,ALVARADO,TOLIMA,ALVARADO,10700,11400,11900,12400,26500,36200,39200,0,2019-01-16T00:00:00.000
IP - CAMBAO-MANIZALES,HONDA,TOLIMA,HONDA,10700,11400,11900,12400,26500,36200,39200,0,2019-01-16T00:00:00.000
IP - MALLA VIAL DEL META,CASETABLA,META,PUERTO LÓPEZ,4400,4800,4800,4800,19700,25000,28100,0,2019-01-16T00:00:00.000
IP - MALLA VIAL DEL META,IRACÁ,META,GRANADA,9700,19400,13300,23300,34600,46000,50000,0,2019-01-16T00:00:00.000
IP - MALLA VIAL DEL META,LA LIBERTAD,META,VILLAVICENCIO,12700,25300,18300,30500,45400,59800,68500,0,2019-01-16T00:00:00.000
IP - MALLA VIAL DEL META,OCOA,META,ACACÍAS,9700,19400,13300,23300,34600,46000,50000,0,2019-01-16T00:00:00.000
IP - MALLA VIAL DEL META,YUCAO,META,PUERTO GAITÁN,4400,4800,4800,4800,19700,25000,28100,0,2019-01-16T00:00:00.000
IP - NEIVA GIRARDOT,EL PATÁ,HUILA,AIPE,11700,14100,15800,20200,34400,44200,50100,0,2019-01-16T00:00:00.000
IP - NEIVA GIRARDOT,FLANDES,TOLIMA,ESPINAL,11700,13900,15600,19900,33300,42700,48600,0,2019-01-16T00:00:00.000
IP - NEIVA GIRARDOT,NEIVA,HUILA,NEIVA,11700,13900,15600,19900,33300,42700,48600,0,2019-01-16T00:00:00.000
IP - TERCER CARRIL,CHINAUTA,CUNDINAMARCA,FUSAGASUGÁ,10300,11600,24800,40300,46300,0,0,0,2019-01-16T00:00:00.000
IP - TERCER CARRIL,CHUSACA,CUNDINAMARCA,GRANADA,10300,11600,24800,40300,46300,0,0,0,2019-01-16T00:00:00.000
IP - VÍA AL PUERTO,LOBOGUERRERO,VALLE DEL CAUCA,DAGUA,8000,9000,21500,28200,32100,0,0,0,2019-01-20T00:00:00.000
